WARNING 2025-08-02 13:51:06,231 middleware 7896 16440 Slow request: POST /login/ took 1.51s with 0 queries
WARNING 2025-08-02 14:31:17,329 middleware 16328 11880 Slow request: POST /login/ took 2.17s with 7 queries
WARNING 2025-08-02 14:38:06,788 middleware 16328 19292 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 14:38:34,620 middleware 16328 19292 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 14:39:30,078 middleware 16328 19292 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 14:39:59,987 middleware 16328 19292 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 14:40:30,453 middleware 16328 19292 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.02s
WARNING 2025-08-02 14:42:31,424 middleware 16328 10764 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.04s
WARNING 2025-08-02 14:42:56,149 middleware 16328 12652 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 14:46:42,873 middleware 16328 12652 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 14:47:57,192 middleware 16328 12652 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.02s
WARNING 2025-08-02 14:54:17,229 middleware 16328 10036 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 14:54:37,339 middleware 16328 10036 High query count: GET /dealer/refresh-stats/ executed 11 queries in 0.01s
WARNING 2025-08-02 14:54:55,192 middleware 8264 8300 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 14:55:07,370 middleware 4860 3396 High query count: GET /dealer/refresh-stats/ executed 12 queries in 0.03s
WARNING 2025-08-02 15:05:26,123 middleware 18396 17744 Slow request: POST /login/ took 2.36s with 7 queries
WARNING 2025-08-02 15:36:35,226 middleware 18396 2284 Slow request: POST /login/ took 2.20s with 7 queries
WARNING 2025-08-02 16:13:01,332 middleware 18396 17616 High query count: GET /dealer/refresh-stats/ executed 11 queries in 0.01s
WARNING 2025-08-02 16:13:03,901 middleware 18396 17616 High query count: GET /dealer/refresh-stats/ executed 11 queries in 0.01s
WARNING 2025-08-02 16:13:11,575 middleware 18396 17584 High query count: GET /dealer/refresh-stats/ executed 11 queries in 0.01s
WARNING 2025-08-02 16:14:41,577 middleware 7500 16744 Slow request: POST /login/ took 2.30s with 7 queries
WARNING 2025-08-02 16:24:21,958 middleware 7500 12604 Slow request: POST /login/ took 1.10s with 1 queries
WARNING 2025-08-02 16:24:30,927 middleware 7500 12604 Slow request: POST /login/ took 1.09s with 1 queries
WARNING 2025-08-02 16:24:37,767 middleware 7500 12604 Slow request: POST /login/ took 1.09s with 1 queries
WARNING 2025-08-02 16:24:44,124 middleware 7500 12604 Slow request: POST /login/ took 2.24s with 7 queries
WARNING 2025-08-02 16:24:53,675 middleware 7500 12604 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.02s
WARNING 2025-08-02 16:29:48,407 middleware 7500 12604 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 16:29:52,723 middleware 7500 16792 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 16:31:21,342 middleware 7500 16792 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 16:31:36,702 middleware 7500 16792 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.05s
WARNING 2025-08-02 16:32:33,143 middleware 7500 16792 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.04s
WARNING 2025-08-02 16:32:43,362 middleware 7500 16792 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 16:32:58,667 middleware 7500 16792 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 16:33:07,888 middleware 7500 16792 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 16:33:16,782 middleware 7500 16792 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.04s
WARNING 2025-08-02 16:33:23,637 middleware 7500 16792 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.04s
WARNING 2025-08-02 16:33:33,603 middleware 7500 16792 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 16:33:46,935 middleware 7500 16792 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.02s
WARNING 2025-08-02 16:36:30,698 middleware 7500 18232 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-08-02 16:37:21,640 middleware 7500 18232 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.04s
WARNING 2025-08-02 16:39:50,559 middleware 7500 18232 Slow request: POST /register/ took 2.28s with 11 queries
WARNING 2025-08-02 16:39:50,559 middleware 7500 18232 High query count: POST /register/ executed 11 queries in 2.28s
WARNING 2025-08-02 16:40:30,225 middleware 7500 18232 Slow request: POST /login/ took 2.21s with 7 queries
WARNING 2025-08-02 16:51:04,691 middleware 17504 14980 Slow request: POST /login/ took 2.19s with 7 queries
WARNING 2025-08-04 10:56:19,142 middleware 37228 23896 Slow request: POST /login/ took 1.61s with 1 queries
